序号,一级指标,二级指标,三级指标,对应指引条目,指标类型,分值,适用对象,自评分结果,工商联评分结果
203,,,是否建立企业独立账户体系，禁止企业资金进出家族个人账户,第一百八十二条,有效项,0.5,家族企业,,
204,,,是否避免家族成员为企业债务提供担保，是否避免以家庭财产为企业融资提供担保,第一百八十二条,有效项,0.5,家族企业,,
205,,,是否有集团股东之间的利益协调机制（股东协议或议事规则）,第一百八十三条,有效项,0.5,家族企业,,
206,,,是否在集团董事会设立特殊表决权、家族文化委员会等安排,第一百八十三条,有效项,0.5,家族企业,,
207,,,子公司是否保持法律和财务独立性，子公司重大决策是否独立作出,第一百八十四条,有效项,0.5,家族企业,,
208,,家族与企业协同治理,是否建立家族会议制度并保证会议频率不低于每年两次,第一百八十六条,有效项,0.5,家族企业,,
209,,,是否设立家族委员会，并定期召开会议,第一百八十七条,有效项,0.5,家族企业,,
210,,,是否制定家族议事规则，规则是否明确成员在股东、董事、监事、员工等身份的权责，议事规则是否包含冲突解决机制,第一百八十七条,有效项,0.5,家族企业,,
211,,,委员会是否参与接班人培养，协调家族矛盾,第一百八十七条,有效项,0.5,家族企业,,
212,,,公司章程是否明确记载创始家族的董事提名权，是否规定创始家族在重大决策中的特殊权利,第一百八十八条,有效项,0.5,家族企业,,
213,,,企业是否定期向家族委员会报告经营情况，家族是否向企业传达家族重大事项,第一百八十八条,有效项,0.5,家族企业,,
214,,,是否设立家族信托,第一百八十九条,有效项,0.5,家族企业,,
215,,,是否明确家族成员股东资格丧失条件和特殊权利制度,第一百八十九条,有效项,0.5,家族企业,,
216,,,是否规定家族成员任职准入条件（学历、经历等），家族成员与职业经理人考核标准与激励方式是否一致,第一百九十条,有效项,0.5,家族企业,,
217,,接班人培养,是否制定接班人计划和企业家退休计划并明确了时间表、阶段目标和具体步骤,第一百九十一条,有效项,0.5,家族企业,,
218,,,是否有应对企业家突发情况的预案,第一百九十一条,有效项,0.5,家族企业,,
219,,,在交接过程中，是否有两代人共同参与的治理分工与协作安排,第一百九十一条,有效项,0.5,家族企业,,
220,,,是否建立定期的沟通协调机制,第一百九十一条,有效项,0.5,家族企业,,
221,,,交接过程中是否聘请外部专家（如财税、法律、心理等方面的顾问），是否引入职业经理人辅助交接,第一百九十二条,有效项,0.5,家族企业,,
222,,,是否制定接班人选拔标准文件,第一百九十四条,有效项,0.5,家族企业,,
223,,,是否明确要求接班人必须具有家族血缘关系，当血缘关系与能力要求发生冲突时，是否有明确的优先原则,第一百九十三条、第一百九十四条,有效项,0.5,家族企业,,
224,,,选拔和决策过程中是否有外部专业人士参与，接班人最终决定是否由家族核心成员集体参与,第一百九十四条,有效项,0.5,家族企业,,
225,,,是否制定分阶段培养制度（轮岗、基层锻炼等），培养计划是否包含外部历练（如其他企业工作、自主创业）、内部轮岗安排、专项培训（如管理学课程、领导力培训）等,第一百九十五条,有效项,0.5,家族企业,,
226,,,是否设立明确的观察期和退出机制,第一百九十五条,有效项,0.5,家族企业,,
227,,,是否建立定期的接班人评估制度，包含职业道德、合规性、业务能力与绩效等内容，是否根据评估结果动态调整接班人岗位和权责,第一百九十六条,有效项,0.5,家族企业,,
228,,,是否制定接班人核心团队培养制度，是否有接班人核心团队的激励机制（薪酬、股权等）,第一百九十七条,有效项,0.5,家族企业,,
229,,,是否采用保险、信托、合伙等法律架构进行交接，是否签署婚内协议、遗嘱等防范家族矛盾文件,第一百九十八条,有效项,0.5,家族企业,,
230,,家风建设,家族是否定期召开家庭会议或者有固定的交流渠道（如家庭微信群、定期聚餐等），当家族成员遇到困难时（如重大疾病、创业失败），家族是否有提供支持的惯例或正式制度（如资金支持、资源对接、情感关怀）,第一百九十九条,有效项,0.5,家族企业,,
231,,,家族成员间是否发生过重大冲突或争执,第一百九十九条,有效项,0.5,家族企业,,
232,,,是否有成文的家训或家风,第二百条,有效项,0.5,家族企业,,
233,,,家族成员是否有违反家风或伦理行为的记录（如擅自处分家族资产、对家族成员不尊重等）,第二百条,调节项,-10.0,家族企业,,
234,,,企业的业务方向是否与国家重点发展战略（如科技创新、乡村振兴）契合，在制定战略时，主动考虑国家政策导向,第二百条,有效项,0.5,家族企业,,
235,,,家族是否有长期的公益投入方向,第二百条,有效项,0.5,家族企业,,
